"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"Raspberry_Pi_3A+_Socketed_THT_FaceDown_MountingHoles_minimum";1;"Raspberry_Pi_3A_Plus_wpi";;;
2;"R16,R14,R15,R17,R18,R19,R20";"R_0603_HandSoldering";7;"R";;;
3;"BODY1,LED,LID";"Con_2x05";3;"Conn_02x05";;;
4;"C1,C2,C4,C16,C27";"CP_Elec_6.3x5.8";5;"100uF";;;
5;"C3,C5,C6,C22,C28,C33,C34,C35";"C_0805_HandSoldering";8;"22uF";;;
6;"C7,C8,C10,C21,C31,C36";"C_0805_HandSoldering";6;"10uF";;;
7;"C9,C11,C13,C25,C29,C32,C37,C38";"C_0805_HandSoldering";8;"0.1uF";;;
8;"C12,C14,C15,C18,C19,C26";"C_0603_HandSoldering";6;"0.01uF";;;
9;"C17";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"3300pF";;;
10;"C20,C24";"C_0805_HandSoldering";2;"1uF";;;
11;"C23";"C_0603_HandSoldering";1;"820pF";;;
12;"C30";"C_0603_HandSoldering";1;"(5-100pF)";;;
13;"J2,J10,J11";"Pin_Header_Straight_1x03_Pitch2.54mm";3;"Conn_01x03_Male";;;
14;"GPIO7,GPIO25";"Pin_Header_Straight_1x01_Pitch2.54mm";2;"Conn_01x01_Male";;;
15;"J5,J6,J7";"Pin_Header_Straight_2x03_Pitch2.54mm";3;"Conn_02x03_Odd_Even";;;
16;"J8";"BarrelJack_Horizontal";1;"Barrel_Jack_Switch";;;
17;"J9";"Molex_MiniFit-JR-5556-24A_2x12x4.20mm_Straight";1;"ATX-24";;;
18;"J_12V1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Conn_01x02_Male";;;
19;"L1";"IND_VLS5045EX-4R7M";1;"3.3uH(ALPS GLMC / TDK SPM6530)";;;
20;"PHOTOSENSING";"Pin_Header_Straight_1x14_Pitch2.54mm";1;"Conn_01x14_Male";;;
21;"Q1,Q2,Q3,Q4,Q5,Q6";"SOT95P240X112-3N";6;"Q_NMOS_GSD";;;
22;"R1,R2,R3,R8,R9,R10";"R_0603_HandSoldering";6;"1k";;;
23;"R4,R5,R6,R7,R11,R12,R13";"R_0603_HandSoldering";7;"10k";;;
24;"R22,R27";"R_0603_HandSoldering";2;"22X";;;
25;"R23,R28";"R_0603_HandSoldering";2;"3X";;;
26;"R24";"R_0603_HandSoldering";1;"120k";;;
27;"R25";"R_0603_HandSoldering";1;"1.8k/0";;;
28;"R26";"R_0603_HandSoldering";1;"22k";;;
29;"U1";"DN4_PWR";1;"DIN4_PWR";;;
30;"U2";"SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm";1;"IFX1763";;;
31;"U3";"SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm";1;"BD9D320EFJ-E2";;;
32;"U4";"LTC3260EMSE-TRPBF";1;"LTC3260EMSE-TRPBF";;;
33;"U5";"SOT-223";1;"CJT1117-3.3";;;
34;"U6";"SN74LVC1G04DBVR";1;"SN74LVC1G04DBVR";;;
35;"U7";"SN74LVC2G66DCUR";1;"SN74LVC2G66DCUR";;;
36;"R21";"R_0603_HandSoldering";1;"100K";;;
37;"SW1";"SW_TH_Tactile_Omron_B3F-10xx";1;"TACTILE_4";;;
