"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP1";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"Jumper";;;
2;"R5,R1,R2,R6";"R_0603_HandSoldering";4;"10K";;;
3;"U4";"COM1305-0.032768-EXT-T-TR";1;"COM1305-0.032768-EXT-T-TR";;;
4;"C20,C5,C6,C8,C11,C16,C17,C18,C19";"C_0603_HandSoldering";9;"0.1uF";;;
5;"U1";"ADS122C04IPWR";1;"ADS122C04IPWR";;;
6;"C1,C2,C7,C10,C13";"C_0805_HandSoldering";5;"4.7uF";;;
7;"C3,C4";"C_0603_HandSoldering";2;"22pF";;;
8;"C9,C12,C15";"C_1206_HandSoldering";3;"DNP";;;
9;"C14";"C_0805_HandSoldering";1;"22uF";;;
10;"FB1";"R_0603_HandSoldering";1;"120@100MHz";;;
11;"LEDN1,LEDS1";"Pin_Header_Straight_1x10_Pitch2.54mm";2;"Conn_01x10_Male";;;
12;"JP2,JP3";"SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm";2;"Jumper_3_Open";;;
13;"JP4";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"Jumper_2_Open";;;
14;"R7";"R_0603_HandSoldering";1;"47k";;;
15;"U2";"ADA2200ARUZ";1;"ADA2200ARUZ";;;
16;"U6,U14";"SOP65P780X200-24N";2;"CD74HC4067M96";;;
17;"U8";"LM7705MMX-NOPB";1;"LM7705MMX_NOPB";;;
18;"U10";"MCP4551T-502E&slash_MS";1;"MCP4551T-503E/MS";;;
19;"U11";"PCA9955B";1;"PCA9955B";;;
20;"U13";"SN74LV4051APWR";1;"SN74LV4051APWR";;;
21;"JSPI1,J3,J4";"Pin_Header_Straight_1x04_Pitch2.54mm";3;"Conn_01x04_Male";;;
22;"TAIR1,TEXT1,TEXT2,TEXT3,TLID1,TWELL1,J2";"Pin_Header_Straight_1x02_Pitch2.54mm";7;"Conn_01x02_Male";;;
23;"R8,R9";"Socket_Strip_Angled_1x02_Pitch2.54mm";2;"?k";;;
24;"U3";"SOT-23-5";1;"LMP7717MF_NOPB";;;
25;"U7,U9";"SN74LVC1GU04DCKR";2;"SN74LVC1GU04DCKR";;;
26;"U5,U15";"SOT-23-8";2;"TS12A12511DCNR";;;
27;"J1";"Pin_Header_Straight_2x07_Pitch1.27mm";1;"Conn_01x14_Male";;;
28;"JPDS1,JPDN1";"Pin_Header_Straight_2x10_Pitch1.27mm";2;"Conn_01x20_Male";;;
29;"R3,R4";"Pin_Header_Straight_1x02_Pitch2.54mm";2;"R";;;
